id,tags,quote,author
127371,"['aphorism', 'closeness', 'connection', 'doorstep', 'doorstep-rug', 'family', 'family-life', 'happines', 'happy', 'home', 'home-sweet-home', 'key', 'quote', 'quotes-about-life']",he key to happiness is under the doorstep rug,"Ljupka Cvetanova, The New Land"
357903,"['cousin', 'daughter', 'father', 'parental-love']","Well, sir, do you mean to remain there, commending my father’s taste in wine, or do you mean to accompany me to Ashtead?”“Set off for Ashtead at this hour, when I have been traveling for two days?” said Sir Horace. “Now, do, my boy, have a little common sense! Why should I?”“I imagine that your parental feeling, sir, must provide you with the answer! If it does not, so be it! I am leaving immediately!”“What do you mean to do when you reach Lacy Manor?” asked Sir Horace, regarding him in some amusement.“Wring Sophy’s neck!” said Mr. Rivenhall savagely.“Well, you don’t need my help for that, my dear boy!” said Sir Horace, settling himself more comfortably in his chair.","Georgette Heyer, The Grand Sophy"
305933,"['black-magic', 'blackness', 'damnation', 'demon-magic', 'hell', 'redemption', 'soul']","You listen to me, and listen good!"""" she shouted, shocking me. """"I am not evil because I have a thousand years of demon smut on my soul!"""" she exclaimed, the tips of her hair trembling and her face flushed. """"Every time you disturb reality, nature has to balance it out. The black on your soul isn't evil, it's a promise to make up for what you have done. It's a mark, not a death sentence. And you can get rid of it given time.""""""""Ceri, I'm sorry,"""" I fumbled, but she wasn't listening. """"You're an ignorant, foolish, stupid witch,"""" she berated, and I cringed, my grip tightening on the copper spell pot and feeling the anger from her like a whip. """"Are you saying because I carry the stink of demon magic, that I'm a bad person?""""""""No..."""" I wedged in.""""That God will show no pity?"""" she said, green eyes flashing. """"That because I made one mistake in fear that led to a thousand more that I will burn in hell?""""""""No. Ceri -"""" I took a step forward.""""My soul is black,"""" she said, her fear showing in her suddenly pale cheeks. """"I'll never be rid of it all before I die, but it won't be because I'm a bad person but because I was a frightened one.","Kim Harrison, A Fistful of Charms"
139652,"['goal-setting', 'goals-in-life', 'happiness', 'hope', 'positive-thinking', 'wisdom']",egative situations can never overwhelm a positive mind,Auliq-Ice
411987,"['day', 'one']",e who every morning plans the transactions of the day and follows out that plan carries a thread that will guide him through the labyrinth of the most busy life. ... If the disposal of time is surrendered merely to the chance of incident  chaos will soon reign,Victor Hugo
234630,"['fantasy', 'fantasy-young-adult', 'horror', 'horror-fantasy', 'paranormal']","I remembered what it was like to die-the pain, the fear, the doubt, and the unknown. Somehow I had cheated death once. Now I was about to try again.","Rick Chiantaretto, Death of the Body"
390884,"['authority', 'team', 'teamwork', 'work']",on't listen to a man who says we have to work together as a team. He means we have to work as he says,C.J. Langenhoven
69212,"['calling', 'fulfillment', 'goals', 'life', 'purpose']",ou should not doubt that you can accomplish something bigge,Sunday Adelaja
278504,"['ellice-and-ross', 'respect']","You will treat me with respect.""""He didn't say anything for a moment.""""What does that mean?"""" he finally asked.She looked over at him. """"Do I need to explain that, your lordship? I would think an earl of your reputed stature would know the meaning of respect.","Karen Ranney, The Virgin of Clan Sinclair"
210771,"['faith', 'football', 'football-quotes', 'goals', 'god', 'responsibility', 'settling']","How responsible are you with what you are given? Are you the per- son who, when asked to do a job, can be counted on to get it done and get it done right? Don’t settle for just a field goal in life. Make the push for the last six inches and score a touchdown. Faithfulness, hard work, and dedication will gain the trust of others and take you further down the field.","Jake Byrne, First and Goal"
269498,"['age', 'hurt', 'love', 'loyalty']",ust because a person is young doesn’t mean that being loyal to someone isn’t important. And it still hurts if someone isn’t loyal to you,"C.C. Hunter, Awake at Dawn"
41077,"['obsession', 'writing', 'writing-philosophy']","One hasn't become a writer until one has distilled writing intoa habit, and that habit has been forced into an obsession.Writing has to be an obsession. It has to be something as organic,physiological and psychological as speaking or sleeping or eating.",Niyi Osundare
455013,"['Comfort', 'Good', 'Healthy']","I eat soup noodles for comfort. In fact, noodles of any kind. It's a food that is very easy to eat; it's very soothing and comfortable, too. If I could choose any, I'd say buckwheat was my favourite: it has a very good flavour and is healthy, too.",Nobu Matsuhisa
216478,"['medication', 'medicine', 'pain', 'suicide', 'tablets']",ou'll be surprised how infinitely merciful they [these tablets] are. The prescription number is 96814. I think of it as the telephone number of God,"Tennessee Williams, Summer and Smoke"
168066,"['actions', 'consequences', 'words']",ach step I take is one I can never get back each thing I do is forever in history each word a person say is forever imprinted in one's memory so be careful of your words or action. For it maybe your las,Joyce Guo
157518,"['bestselling-author', 'decision', 'destiny', 'dream', 'future', 'goal', 'ifeanyi-enoch-onuoha', 'legacy', 'life', 'living', 'success']","Until you make a destiny defining decision, you can't move from where you are to the rightful place you should be.",Ifeanyi Enoch Onuoha
256638,"['edmond-mbiaka', 'expecting-others-to-forgive-you', 'wrongdoing', 'wrongdoings']","Isn't it strange that most of the people who find it very difficult to forgive others, are usually the same ones who expect others to forgive them for their wrongdoings?",
453713,"['California', 'Great', 'Point']","The great medley of Oregon and California emigrants, at their camps around Independence, had heard reports that several additional parties were on the point of setting out from St. Joseph's farther to the northward.",Francis Parkman
444746,"['First', 'God', 'Me']","Whenever the strength of God is not recognized as the source of our strength, we are breaking the First Commandment: Do not have any gods before me.",John Piper
368891,['feeling'],"Warmth, perfume, rugs, soft lights, books. They do not appease me. I am aware of time passing, of all the world contains that I have not seen, of all the interesting people I have not met.","Anaïs Nin, A Cafe in Space: The Anais Nin Literary Journal, Volume 3"
293860,"['salvation', 'usmc', 'violence']",he purpose of bayonet training is to awaken your killer instincts. The killer instinct will make you strong. If the meek ever inherit the earth the strong will take it away from them. The weak exist to be devoured by the strong. Every Marine must pack his own gear. Every Marine must be the instrument of his own salvation,Stanley Kubrick
447271,"['Future', 'History', 'Woman']",rs. Palin is history in a dress. And her script is straight out of Hollywood - like those teen movies with the cliched ending featuring the female valedictorian delivering the speech of a lifetime projecting a bold and transformative future with an independent-minded woman in charge,Andrew Breitbart
366819,"['blessings', 'hope']","Count your blessings, not your misfortunes, for your blessings will be the light of hope, in the dark of hopelessness.",Kaitlin D.S. Cammie
239323,"['culture', 'diversity', 'happy', 'language', 'language-learning', 'languages-and-culture', 'together', 'union', 'unique', 'united']","The geniuses of all ages and of all lands speak different languages but the same flame burns in them all. Oh, if you only knew what unearthly happiness my soul feels now from being able to understand them.","Anton Chekhov, The Bet and Other Stories"
119237,"['money', 'rent', 'rent-money']",t looked like the kind of place where people were shot over the rent money,"Amy  Stewart, Lady Cop Makes Trouble"
360057,"['inspirational', 'life', 'love', 'miracles']","The previously unloved may find it hard to believe that they are now loved; that is such a miracle, they feel; such a miracle.","Alexander McCall Smith, The Good Husband of Zebra Drive"
20802,['inspirational-quotes'],"Strange is our situation here on Earth. Each of us comes for a short visit, not knowing why, yet sometimes seeming to divine a purpose. From the standpoint of daily life, however, there is one thing we do know: that man is here for the sake of other men - above all for those upon whose smiles and well-being our own happiness depends.",Albert Einstein
449000,"['Live', 'Mediocrity', 'Think']", think we live in an age of increasing mediocrity,Dick Cavett
328621,"['lds', 'religious', 'uplifting']","Soul mates' are fiction and an illusion; and while every young man and young woman will seek with all diligence and prayerfulness to find a mate with whom life can be most compatible and beautiful, yet it is certain that almost any good man and any good woman can have happiness and a successful marriage if both are willing to pay the price.",Spencer W. Kimball
359616,['truth-of-life'],umans will do the right thing... just a decade lat,Gibby
293212,['inspirational-quote'],ISION without PROVISION is FRUSTRATION,Chiemezie Anyaeji
154355,"['acceptance', 'counseling', 'forgiveness', 'limitless', 'love', 'peace', 'psychology']",he benefits of forgiveness are limitless,Asa Don Brown
151353,"['feminism', 'history', 'science', 'sexuality', 'women']","The rifts in this ancient wall continue to be patched with exhortations to women to avoid challenging the norm even if it means faking orgasm and sacrificing honesty in their intimate relationships with men. In the past we have been willing to pay this price; whether we should continue to do so is question for individuals; not historians, to decide.","Rachel P. Maines, The Technology of Orgasm: Hysteria, the Vibrator, and Women's Sexual Satisfaction"
443490,"['Art', 'Marriage', 'Mother']","My mother was born in Baltimore, and before her marriage, she was an artist and teacher of art.",J. Robert Oppenheimer
172826,"['difficulties-of-life', 'life-and-living']","I say to life, """"You are very hard"""", and I also say: """"We are blind, we prefer to be blind. It is easier..."""". Life has to be hard to have any affect on us; even now we hardly notice it. Beyond that can one go? I must. I add, """"We are also blind to the miracles of good that come to us. We hardly heed them, we even protest against them"""". Then I am left where I was, appalled by the hardness of life, knowing we are forced to be unwilling heroes. Suddenly I wonder--is all hardness justified because we are so slow in realizing that life was meant to be heroic? Greatness is required of us. That is life's aim and justification, and we poor fools have for centuries been trying to make it convenient, manageable, pliant to our will. It is also peaceful and tender and funny and dull. Yes, all that.","Florida Scott-Maxwell, The Measure of My Days"
383759,"['parenthood', 'testimony', 'vulnerability']","If a brokenhearted mother could sing, I could not remain silent.","Beth Moore, To Live Is Christ"
402064,['family'],ld friends are best. King James used to call for his old shoes  they were the easiest for his feet,John Selden
97877,"['art', 'life', 'love']","Part came from Lane, and part from D.H. Lawrence;Gide, though I didn't know it then, gave part.They taught me to express my deep abhorrenceIf I caught anyone preferring ArtTo Life and Love and being Pure-in-heart.I lived with crooks but seldom was molested;The Pure-in-heart can never be arrested.","W.H. Auden, Letters from Iceland"
483503,"['Civilization', 'Person', 'Wheels']","Inventor: A person who makes an ingenious arrangement of wheels, levers and springs, and believes it civilization.",Ambrose Bierce
228,"['happiness', 'love']",appiness is holding someone in your arms and knowing you hold the whole world,"Orhan Pamuk, Snow"
88881,"['change', 'difference']","You do not change anything, only need to make difference.","Toba Beta, My Ancestor Was an Ancient Astronaut"
155118,"['argument', 'deceit', 'defenselessness', 'double-standards', 'falsehood', 'hypocrisy', 'inequality', 'injustice', 'misrepresentation', 'one-sidedness', 'strength', 'unfairness', 'weakness']","Those who plead their cause in the absence of an opponent can invent to their heart's content, can pontificate without taking into account the opposite point of view and keep the best arguments for themselves, for aggressors are always quick to attack those who have no means of defence.","Christine de Pizan, Der Sendbrief vom Liebesgott / The Letter of the God of Love"
154271,"['buddhism', 'effortless-mindfulness', 'heart-mindfulness', 'mahamudra', 'meditation', 'mindfulness', 'neuoroscience', 'nonduality', 'psychology', 'science', 'spirituality', 'tibetan-buddhism']",est as the awareness that is aware without using thought,"Loch Kelly, Shift Into Freedom: The Science and Practice of Openhearted Awareness"
101037,"['cheat', 'principle', 'progress', 'self', 'self-realisation', 'spiritual', 'spiritual-quotes', 'world']",here is no progress (spiritual) in this world like the one that comes from being cheated knowingly. This is a very high principle,Dada Bhagwan
325398,"['erotica', 'roped-in', 'sindra-van-yssel']","Mae West had it right—try anything once, do it again if you like it.","Sindra van Yssel, Roped In"
298183,"['logic', 'perception']",ost of the mistakes in thinking are inadequacies of perception rather than mistakes of logic,Edward de Bono
299598,"['dark', 'dread', 'fear-of-the-dark', 'suspense', 'time', 'time-passing']",hadows fell on them like predators as the light went out,"China Miéville, Perdido Street Station"
51147,"['advice', 'creativity', 'education', 'imagination', 'lailah-gifty-akita-affirmations', 'mind', 'moment', 'self-awareness', 'self-discovery', 'thinking', 'thoughts', 'write', 'writing']","Sacred-thoughts flashes in your mind at sacred-time. If you don’t write it immediately, it will be forgotten.","Lailah Gifty Akita, Think Great: Be Great!"
179006,['trust'],"If you can't trust, you can't be trustworthy.","Craig Ferguson, Between the Bridge and the River"
260284,"['choices', 'decisions', 'heartbreak', 'love']","When we make choices, we open ourselves up to hard work and failure and heartbreak, so sometimes it feels easier not to know, not to choose, and not to do. But it isn't.","Meg Jay, The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now"
450644,"['Idea', 'Night', 'You']",he idea is to go to bed every night with fewer enemies than you had in the morning,David Petraeus
